tconst,originalTitle,startYear,genre,averageRating,numVotes,primaryName,parental_advisor,duree,resume,genres,themaScore
tt5869240,To the New Girl,2020,,7.5,19,Adriana González-Vega,,80.0,Ten women tell their exes' new flames exactly how it is during a powerful open mic night in Los Angeles.,"['Comedy', 'Drama']",0.0
tt5869240,To the New Girl,2020,,7.5,19,Aurora J. Culver,,80.0,Ten women tell their exes' new flames exactly how it is during a powerful open mic night in Los Angeles.,"['Comedy', 'Drama']",0.0
tt5869240,To the New Girl,2020,,7.5,19,Ambika Leigh,,80.0,Ten women tell their exes' new flames exactly how it is during a powerful open mic night in Los Angeles.,"['Comedy', 'Drama']",0.0
tt5869370,Dedicada a mi Ex,2019,,7.1,644,Jorge Ulloa,TV-PG,94.0,"A band of misfits enter a music video contest in order to win a cash prize, but don't realize they actually have to be good at playing music.",['Comedy'],0.0
tt9336816,¡Asu Mare! 3,2018,,4.6,145,Jorge Ulloa,,100.0,"Cachín and Emilia, happily married, await the arrival of their first born child. Together, they organize a trip to Miami with their best friends, Culi and Pamela, where a huge surprise awaits them.",['Comedy'],0.0
tt5869550,Tracking Edith,2016,,7.2,57,Peter Stephan Jungk,,91.0,"Tracking Edith tells the story of a socially engaged, known Austrian/British photographer who led a double life: as a secret agent for the KGB.","['Biography', 'Documentary', 'History']",0.0
tt5870084,Más que hermanos,2017,,7.0,1254,Arianne Benedetti,,110.0,"Two young siblings ended up living on the streets, having nothing left but their love. It's a story about survival, second chances and second falls.",['Drama'],0.0
tt5870150,Shane Ryan's Faces of Snuff,2016,,5.5,85,Hussein Khoder,,136.0,Dozens of 'Snuff' films. Which ones are real?,"['Crime', 'Horror', 'Mystery']",0.0
tt5870150,Shane Ryan's Faces of Snuff,2016,,5.5,85,Jason Chester,,136.0,Dozens of 'Snuff' films. Which ones are real?,"['Crime', 'Horror', 'Mystery']",0.0
tt5870150,Shane Ryan's Faces of Snuff,2016,,5.5,85,Simon Harcourt,,136.0,Dozens of 'Snuff' films. Which ones are real?,"['Crime', 'Horror', 'Mystery']",0.0
tt5870150,Shane Ryan's Faces of Snuff,2016,,5.5,85,The Captain,,136.0,Dozens of 'Snuff' films. Which ones are real?,"['Crime', 'Horror', 'Mystery']",0.0
tt5870150,Shane Ryan's Faces of Snuff,2016,,5.5,85,Vincent Kulish,,136.0,Dozens of 'Snuff' films. Which ones are real?,"['Crime', 'Horror', 'Mystery']",0.0
tt5870174,Batman Beyond: Rising Knight,2014,,6.3,21,Matthew Baamonde,,45.0,"In Gotham's grisly future, the Dark Knight has fallen. Now Terry McGinnis must take up the mantle of the Batman... if he can. His first mission was a disaster, and Terry is hungry for revenge.",['Animation'],0.0
tt5870362,The First Time Club,2017,,6.2,71,Kt Curran,,69.0,"The First Time Club is a new film about a group of teenage friends in a secret world of adventure, love, and betrayal.",['Drama'],0.0
tt9182934,Surviving Lunch,2019,,5.2,117,Kt Curran,,75.0,"When school is the battleground, where can you hide?",['Drama'],0.0
tt5870834,My Friend Yaniv,2016,,8.5,20,Maayan Schwartz,,45.0,"Yaniv,28, lives with his parents in Kiryat Ata-a suburban city in northern Israel. Over the years, Yaniv witnesses best friends leave home, his little sister get married and leave home and ...                ","['Animation', 'Comedy', 'Documentary']",0.0
tt5870952,Raw Trip,2016,,7.8,23,Antonis Mandranis,,,,"['Action', 'Horror', 'Thriller']",0.0
tt8749044,Outlanders,2019,,8.2,15,Antonis Mandranis,,,,['Action'],0.0
tt5870990,John Honai,2015,,2.2,35,T.A. Thaufeek,,121.0,John has an accident with a rich merchant named Devanarayanan and walks away with a blank cheque. John and his friends Jaffer and Janardhanan use the cheque to take a holiday trip in Dubai.,['Comedy'],0.0
tt5871076,A Story Behind Mountain,2012,,5.8,11,Lu Yi,,85.0,"After a public school become dismissed from a local village in the mountains, a young man volunteer to re open the school and teach children while taking care of his sick father.",['Drama'],0.0
tt5871320,Zero Tolerance,2017,,8.0,19,Joseph Forsberg,,,,['Thriller'],0.0
tt5871552,Crisis in the Valley,2016,,8.7,12,David L. Walker,,75.0,Crisis in the Valley is a Christian drama series based right here in the Valley. It chronicles the life of the Lessons' family struggling to hold onto their church while also maintaining a relevant religious presence in the community.,['Drama'],0.0
tt5872120,Run Antony,2016,,7.6,60,Raghu Shastry,,129.0,"Antony is depressed and wants to commit suicide. He meets Yashu, who makes him see the positive in life. When he thinks his life could be happy, there's an unexpected shock. He has to run to save himself and find the truth.","['Action', 'Romance', 'Thriller']",0.0
tt5872258,Smokin' on the Moon,2017,,5.7,18,Yûichirô Tanaka,,135.0,"Two slackers work at a midnight bar while also selling marijuana; when they get dangerously close to some unhinged yakuza, they follow wildly divergent fates.","['Comedy', 'Drama']",0.0
tt5872270,Quella sporca sacca nera,2015,,7.5,23,Mauro Aragoni,,63.0,        ,['Western'],0.0
tt5872692,Qlub Imwegggha,2014,,4.8,290,Charles Meli,,183.0,An emotional story of a man who rediscovers love after his wife suddenly and mysteriously leaves him. The plot further develops an intriguing insight into their separate lives leaving viewers at the edge of their seat until the very end.,"['Drama', 'Mystery', 'Romance']",0.0
tt5872888,The Generator,2017,,3.2,163,Rudy Carpio,,97.0,Aspiring teenage astronauts reveal that a journey to Mars is closer than you think.,['Sci-Fi'],0.0
tt5873216,They,2017,,4.7,574,Anahita Ghazvinizadeh,TV-MA,136.0,Cambodian author and human rights activist ,['Drama'],0.0
tt5873892,Yahan Sabhi Gyani Hain,2020,,5.0,277,Anant Tripathi,,115.0,"A satirical comedy film shot in Kanpur. The story revolves around a delusional and dysfunctional ""Kanpuriya"" family, are told of having hidden ancestral treasure. But in the process of finding the treasure, find the true lesson of life.",['Comedy'],0.0
tt5874116,Limbo,1999,,5.5,46,Tina Krause,R,126.0,"In an economically devastated Alaskan town, a fisherman with a troublesome past dates a woman whose young daughter does not approve of him. When he witnesses the murder of his shady brother, he, the woman and the kid run to the wilderness.",['Horror'],0.0
tt5874164,Operation Restore Hope: Tijuana,2016,,7.8,9,Jared Hardin,,45.0,A true story and an epic documentary following 12 veterans as they journey to serve the poorest of the poor in Mexico--all while battling severe PTSD in an environment full of triggers.,"['Biography', 'Documentary']",0.0
tt5874164,Operation Restore Hope: Tijuana,2016,,7.8,9,Beau Chevassus,,45.0,A true story and an epic documentary following 12 veterans as they journey to serve the poorest of the poor in Mexico--all while battling severe PTSD in an environment full of triggers.,"['Biography', 'Documentary']",0.0
tt5874986,Registro di classe. Libro primo 1900-1960,2015,,6.8,6,Cecilia Pagliarani,,54.0,"School registers are made to record the students' absences and grades. But not all students are equal, not all of them are given the same opportunities. In this journey lasting over a ...                ","['Documentary', 'History']",0.0
tt5875102,"Fly, Kite Fly",2015,,7.7,22,Chieh-Te Liang,,78.0,"The black kite, generally referred to as 'the eagle' in Taiwan, has become so rare that few people ever see it. Shen Zhen-Zhong, nick-named 'Mr. Kite', vows to safeguard this endangered ...                ",['Documentary'],0.0
tt5875298,The Book of Nightmares,2017,,2.2,127,Danial O'Brien,,85.0,"Ignoring all signs and warnings, four counselors at a remote summer camp tell campfire stories to each other from an ancient book of evil that come to life to haunt them one by one.","['Horror', 'Thriller']",0.0
tt5875364,Horseshoe Finale,2015,,8.8,38,Jesse Wood,,106.0,"The grand finale to the Horseshoe Review saga, Drowning In Horseshoes takes center stage, Revealing all his cards and walking towards the sunset with his hands raised high. also bitching about bronies. mainly that.","['Comedy', 'Drama']",0.0
tt5875652,Alpha Class,2016,,8.3,36,Danny McManus,,94.0,"In this revealing look behind the closed doors of the fraternity world, Alpha Class tells the true story of a small group of college kids at the biggest party school in the nation. After ...                ","['Comedy', 'Documentary', 'Drama']",0.0
tt5875708,B@ (Batman Parody Film),2016,,8.6,16,Tony Calkins,,,,['Comedy'],0.0
tt5876318,Hartenstrijd,2016,,5.6,640,Janice Pierre,,90.0,A lovelorn police officer and a womanizing bar owner get into a romantic game of cat and mouse as they both attempt to take their love lives in new directions.,"['Comedy', 'Romance']",0.0
tt5876352,Le correspondant,2016,,4.6,148,Jean-Michel Ben Soussan,Tous publics,86.0,Welcome to the German pen- friends !(especially the female ones),['Comedy'],0.0
tt5876392,Mission Tiger,2016,,6.0,10,Dipu Karunakaran,,,,['Adventure'],0.0
tt5876412,Serpent,2017,,4.5,833,Amanda Evans,Not Rated,85.0,"A romantic escape into nature turns into the ultimate moment of reckoning when a husband and wife are trapped in a tent with a deadly snake. Unable to escape and with certain death looming,...                ",['Thriller'],0.0
tt5876496,Last Christmas,2016,,5.0,15,Christiano Pahler,,21.0,Mia and Ryan decides to have one last Christmas with their friends before they leave town. Surprising things happen at the party that makes this Christmas a special one.,['Comedy'],0.0
tt5877310,En bataille,2016,,6.5,7,Eve Duchemin,,58.0,        ,['Documentary'],0.0
tt5877836,Locus of Control,2018,,6.3,26,Sean Clancy,,78.0,"Stuck repeating the same pattern of mistakes again and again, Andrew Egan reluctantly accepts a teaching job to support his floundering, stand-up comedy career. As an increasingly anxious ...                ","['Comedy', 'Drama', 'Horror']",0.0
tt5878276,Make,2016,,8.3,50,Christian Schultz,TV-MA,60.0,"Bo Burnham tackles life, death, sexuality, hypocrisy, mental illness and Pringles cans in his dazzling new stand-up special.",['Documentary'],0.0
tt5878326,"Jesus, Bro!",2017,,6.5,218,Ryan Mitchelle,Not Rated,85.0,An angry internet atheist has a near death experience and must deliver the news of ,"['Comedy', 'Fantasy']",0.0
tt8597424,Another Cinema Snob Movie,2019,,5.6,82,Ryan Mitchelle,,109.0,"Having portrayed the popular YouTube character the Cinema Snob for many years, Craig Golightly is set to release an original film all of his own to theaters. When the film is laughed off ...                ","['Adventure', 'Comedy', 'Horror']",0.0
tt5878908,Suzy & the Simple Man,2016,,8.6,7,Suzan Muir,,88.0,An environmental love story on a road less travelled,"['Documentary', 'Family']",0.0
tt5879028,All Too Human,2018,,5.7,42,Travis D. Brown,,96.0,"After struggling with years of severe depression, Mark has decided that today is the day to end his misery. There seems to be no moral or spiritual philosophy that can bring about Mark's ...                ",['Drama'],0.0
tt5879028,All Too Human,2018,,5.7,42,Mandy Stockholm,,96.0,"After struggling with years of severe depression, Mark has decided that today is the day to end his misery. There seems to be no moral or spiritual philosophy that can bring about Mark's ...                ",['Drama'],0.0
tt5879216,Slapped! The Movie,2018,,4.9,213,Alex Magaña,,119.0,"Alex (Alex Magaña) and Matt (Matt Lowe) are best friends who are complete opposites. Alex is responsible, in-shape and lonely. Matt is immature, overweight and smothered. Secretly, they ...                ","['Comedy', 'Fantasy']",0.0
tt5922358,Narco Valley,2018,,5.4,146,Alex Magaña,,78.0,"An ex-gangster who after being released from prison attempts to get on the straight and narrow. When that doesn't work out, he is pulled back into crime, building his empire as a kingpin, only to have it taken away as fast as he gained it.","['Action', 'Crime', 'Drama']",0.0
tt6368508,29 to Life,2018,,5.0,384,Alex Magaña,,100.0,"29 year-old Barnaby is jobless, broke, his girlfriend left him and he's living out of his car. Luckily for him, fate intervenes and he is reacquainted with Madison, an old friend. As she helps him turn his life around, romance brews.","['Comedy', 'Drama']",0.0
tt9651918,What Love Looks Like,2020,,4.6,362,Alex Magaña,,88.0,Five interwoven love stories explore the ups and downs of finding love.,"['Comedy', 'Drama', 'Romance']",0.0
tt5879394,Calling Bell,2016,,2.9,8,Kollam Ajith,,142.0,A lady monster kills a woman and takes her place. The husband learns it through a saint and contains her in the house abondoning it. The husband's younger brother comes to the house with a ...                ,['Drama'],0.0
tt5879420,1962 My Country Land,2016,,8.0,10,Partha Borgohain,,109.0,"ON THE ONSET OF THE COLD WAR BETWEEN INDIA AND CHINA OVER THE ISSUES OF THE HIMALAYAN BORDER DEMARCATING INDIA AND TIBET, AND THE EXILE OF THE SPIRITUAL GURU THE 14TH DALAI LAMA SPLURGE ...                ","['Drama', 'History']",0.0
tt5879612,Opium,2016,,5.3,23,Pablo Dury,,48.0,"They say that the world got silent. They say that you went far away, with the cries, the laughs, the tomorrows. But Oscar, he hears them whisper at night. Behind the walls, far from the men, at the end of the corridor...",['Drama'],0.0
tt8779730,Les amoureux,2018,,7.2,10,Pablo Dury,,46.0,"At the edge of the world, it is said there is an enchanted forest. It will hand over to the the traveler who settles there the one he most desires. Among the trees wanders beings from a ...                ",['Drama'],0.0
tt5879988,Becker - Kungen av Tingsryd,2017,,4.7,226,Martin Larsson,,87.0,"Becker runs a business in Tingsryd, Småland, Sweden, specialized in garden furniture. In fact he sells everything you can make a profit from, including black labour from the Baltic ...                ","['Comedy', 'Crime', 'Thriller']",0.0
tt5879998,L'indomptée,2016,,5.5,223,Caroline Deruas-Garrel,10,98.0,"The story of the relationship between two young artists, a photographer and a writer, but above all the story of personal freedom through the filter of the imagination.","['Drama', 'Mystery']",0.0
tt5880234,Maria Mafiosi,2017,,5.3,125,Jule Ronstedt,,92.0,"Policewoman Maria and Rocco expect offspring. Rocco's father Silvio, officially pizzeria owner, unofficially Mafiapate, is not thrilled. Even Maria's father, a policeman himself, is anything but pleased.","['Comedy', 'Crime']",0.0
tt5880528,It's Not Just Me,2017,,8.2,16,Jonathan W.A. Messer,,60.0,This film explores the lives of four Australian transgender men. We meet two of them on the first day of their gender transition as they begin their hormone treatments. The film explores ...                ,['Documentary'],0.0
tt5880798,Nirmom,1996,,6.4,6,Alamgir,,136.0,Momota Chowdhury gets a vast wealth from her father but her cousin Rustam Ali wants to usurp this by marrying her. Momota runs away from home and takes shelter in Raju's house. She marries ...                ,"['Action', 'Drama', 'Romance']",0.0
tt6520888,Ekti Cinemar Golpo,2018,,5.8,21,Alamgir,,153.0,        ,['Drama'],0.0
tt5881528,Damsel,2018,,5.5,5288,Nathan Zellner,R,113.0,"It's the Wild West, circa 1870. Samuel Alabaster, an affluent pioneer, ventures across the American frontier to marry the love of his life, Penelope. As his group traverses the west, the once-simple journey grows treacherous, blurring the lines between hero, villain and damsel.","['Comedy', 'Drama', 'Western']",0.0
tt5881892,Elizabeth Blue,2017,,5.6,141,Vincent Sabella,PG-13,95.0,"A young woman, recently released from a mental hospital, is coping with ongoing episodes of schizophrenia.",['Drama'],0.0
tt5882206,What's with Wheat?,2016,,6.5,340,Justin Brown,TV-PG,79.0,A hard hitting investigation helping to answer the burning questions about our health today. This documentary features 15 global experts who shed the light on what is currently happening to our wheat.,['Documentary'],0.0
tt5882278,Mughal-E-Azam,2010,,7.6,10,Mizanur Rahman Dipu,,,,"['History', 'Romance']",0.0
tt5882294,Hoe het zo kwam dat de ramenlapper hoogtevrees kreeg,2016,,7.5,96,Eva M.C. Zanen,,47.0,"Incredibly enough, one day before the start of his pension and just hours before his 65th birthday, window cleaner Alfred suddenly finds himself stricken by vertigo. A 64-year and 364-day ...                ",['Comedy'],0.0
tt5882450,Docteur Jack,2016,,7.2,10,Benoît Lange,,84.0,        ,['Documentary'],0.0
tt5882450,Docteur Jack,2016,,7.2,10,Pierre-Antoine Hiroz,,84.0,        ,['Documentary'],0.0
tt5883220,Life Prescribed,2016,,3.0,27,Kyle Couch,PG-13,50.0,The true story of one man's fall into prescription pain-killers and his redemption,"['Biography', 'Drama']",0.0
tt7435096,The Tent,2020,,3.5,210,Kyle Couch,,85.0,"An apocalyptic event known as The Crisis has devastated David's world leaving him to rely on survival tactics learned from childhood. Soon enough, another survivor emerges, Mary, who immediately begins questioning David's tactics.","['Drama', 'Thriller']",0.0
tt5883336,A Personal Journey Through Cinema History with Thomas Pollock,2016,,7.5,16,Thomas Pollock,,105.0,"From its inception to now, Thomas explores the history of cinema, and how it has shaped his life. Mixing film history and personal stories, Thomas covers the changes in film, and his experience with it.",['Documentary'],0.0
tt5883430,Uddishya,2018,,7.0,23,HeMan,,,,['Thriller'],0.0
tt5883478,Call Me by My Rightful Name,1972,,6.3,7,Michael Shurtleff,,91.0,Friendship turns to resentment when a young woman comes between two roommates.,['Drama'],0.0
tt5883632,Esteros,2016,,7.0,4138,Papu Curotto,Unrated,83.0,"Two boyhood chums, separated soon after sexually awakening together, re-meet as young men with unspoken sexual tensions lying between them.","['Drama', 'Romance']",0.0
tt5883930,Cairo Jazzman,2017,,7.7,20,Atef Ben Bouzid,,82.0,The engaging story of the Cairo Jazz Festival and a portrait of its founder ,"['Documentary', 'Music']",0.0
tt5884004,David Crosby: Remember My Name,2019,,7.4,1144,A.J. Eaton,R,95.0,Meet David Crosby in this portrait of a man with everything but an easy retirement on his mind.,"['Documentary', 'Music']",0.0
tt5884434,Salton Sea,2018,,5.4,924,Michael Stevantoni,,80.0,"Hoping to convince his wife that a promotion across the country could change their lives, Brian takes her on a trip to a faded resort town where they once honeymooned. Here, Brian is forced to examine his own marriage, fears, and integrity.",['Drama'],0.0
tt5884600,F-27: The Movie,2014,,4.5,24,Willy Combe,,85.0,"On December, 1987, a plane carrying the Peruvian soccer team, Alianza Lima, crashed and nearly everyone on board died. Years later, people deeply affected by the tragedy start finding clues...                ",['Drama'],0.0
tt5884834,My Story,2018,,4.5,563,Roshni Dinaker,,45.0,"Archive footage and reconstructions are used to examine one of the most shocking and bizarre acid attacks of recent years. In 2012, Naomi Oni was stalked through London by someone disguised in a niqab before being doused in sulphuric acid.","['Drama', 'Musical', 'Romance']",0.0
tt5884866,The Second Death of Maximilian Paspa Aka Paspin Kut3,2016,,8.8,32,Zorko Sirotic,,,,['Mystery'],0.0
tt5884950,Inosento 15,2016,,6.0,10,Hirokazu Kai,,88.0,It's a new youth movie vividly remind audience of the hurts of love.,['Drama'],0.0
tt5884962,The Storyteller. After Walter Benjamin.,2016,,5.4,11,Nathaniel Knop,,62.0,Walter Benjamin expressed the vanishing of the verbal form of storytelling in his 1936 essay. Following Benjamin's description of a storyteller we are looking at the storyteller of today. ...                ,['Documentary'],0.0
tt5885148,How to Defuse a Bomb: The Project Children Story,2016,,7.7,145,Des Henderson,,,,['Documentary'],0.0
tt5885414,Reimagining Sicily,2016,,6.9,7,Mark Spano,,98.0,"Reimagining Sicily reveals a place and people far removed from the criminal element associated with this island nation -- a destination of spectacular beauty, epic human struggle, diversity...                ",['Documentary'],0.0
tt5885540,Kumo man.,2017,,6.4,28,Toshimasa Kobayashi,,90.0,        ,['Comedy'],0.0
tt5885628,Sinister Sam: The Menace,2016,,8.6,6,Benjamin Nochimson,,146.0,Captain Samuel Allis must deal with the consequences of his decision to trade American military secrets with a Russian mobster,['Comedy'],0.0
tt5885842,Il ne suffit pas que Dieu soit avec les pauvres,1978,,7.3,17,Lotfi Thabet,,70.0,"The Egyptian architect Hassan Fathy talks about his life and work. Footage of Cairo, Gharb Assouan, New Gourna, Kom-Ombo.",['Documentary'],0.0
tt5885926,Rottweiler,2016,,5.5,17,Cade LiRocchi,,65.0,"Training for a marathon, a runner meets a mysterious woman in trouble.","['Mystery', 'Thriller']",0.0
tt5885972,The Patriot Game,1979,,7.6,168,Arthur MacCaig,,93.0,A history of the Northern Irish conflict from 1922 until the 1970s.,"['Documentary', 'History']",0.0
tt5886386,Rhyme Slaya,2016,,7.1,21,Maurice Thomas,,97.0,A hip hop contest becomes a blood soaked splatter-fest as five contestants are brutally stalked and murdered.,['Horror'],0.0
tt5886440,Marrowbone,2017,,6.6,31435,Sergio G. Sánchez,R,110.0,"A young man and his three younger siblings, who have kept secret the death of their beloved mother in order to remain together, are plagued by a sinister presence in the sprawling manor in which they live.","['Adventure', 'Drama', 'Horror']",0.0
tt5886842,COPD: Highly Illogical - Remembering Leonard Nimoy,2017,,8.1,47,David Knight,,60.0,"On February 27, 2015, one of the most respected and beloved legendary icons, ",['Documentary'],0.0
tt5886842,COPD: Highly Illogical - Remembering Leonard Nimoy,2017,,8.1,47,Julie Nimoy,,60.0,"On February 27, 2015, one of the most respected and beloved legendary icons, ",['Documentary'],0.0
tt5887262,Aggression,2017,,3.6,32,Rick Jacquet,,78.0,"Marie, mute, contacts her sister living in the UK since 12 years after the death of their father. Sarah comes back to France for the funeral. But one night, two burglars come in the house and take the two girls hostage.","['Drama', 'Horror', 'Thriller']",0.0
tt5887286,Egyptian Jeanne d'Arc,2016,,6.1,8,Iman Kamel,,86.0,The lost diary of a Bedouin girl inspires a filmmaker's journey back home.,"['Biography', 'Documentary']",0.0
tt5887292,Shop of Little Pleasures,2017,,7.7,102,Julia Frick,,93.0,"Emma is a 50 year old unemployed mother of two grown up children, who's husband is looking for his sexual awaking - with another woman. The thought of filing for divorce also turns out as a...                ","['Comedy', 'Drama', 'Romance']",0.0
tt5887630,Los amores cobardes,2018,,5.7,275,Carmen Blanco,,92.0,"Eva is a young and independent cartoonist who returns to Málaga (Spain) to spend the summer holidays. There she meets her mother and Gema, her best friend. What she does not expect is to ...                ","['Drama', 'Romance']",0.0
tt5887650,Living Space,2018,,3.3,437,Steven Spiel,Not Rated,80.0,"College sweethearts Brad and Ashley venture into the heartland of Germany. Their romantic holiday takes a sinister turn when encountering a German SS Officer, thrusting them into a psychological vortex.","['Drama', 'Horror']",0.0
tt5887838,Kalpana 2,2016,,5.5,70,R. Anantharaju,,150.0,"Raghava has Nyctophobia. Raghava, who loves Nandhini, is a cinematographer for a TV channel and wants to shoot a fake haunted house, in order to increase TRP ratings. To their misfortune, they are haunted, not by one but by five ghosts.","['Comedy', 'Horror']",0.0
tt5888614,Nobody's Died Laughing,2016,,8.8,9,Geoffrey Butler,,88.0,"The story of a legendary man from an extraordinary country, and the phenomenal power of laughter.",['Documentary'],0.0
tt5888614,Nobody's Died Laughing,2016,,8.8,9,Willem Oelofsen,,88.0,"The story of a legendary man from an extraordinary country, and the phenomenal power of laughter.",['Documentary'],0.0
tt5889280,A.I. Love You,2016,,6.6,32,Shôgo Miyaki,,92.0,"A love story that depicts love with artificial intelligence, filmed with smartphones. Haruka Hoshino, a dreamer who wants to have her own store, continues to apply for recruitment at a ...                ",['Romance'],0.0
tt5889292,High-Rise Rescue,2017,,5.0,197,Robert Vaughn,TV-PG,87.0,An emotionally gripping family action drama about a mother who will do whatever it takes to save her family.,"['Action', 'Drama', 'Thriller']",0.0
tt5889462,Guppy,2016,,8.1,2147,Johnpaul George,,158.0,"The story of a 12 year old boy who sells guppy fish for a living in his colorful beach side colony. When an engineer is summoned to construct a bridge, the contrasting characters cause great tension and turmoil.","['Comedy', 'Drama']",0.0
tt8282830,Ambili,2019,,7.0,1527,Johnpaul George,Not Rated,140.0,"Guileless like a child and ever so full of life, Ambili is beloved by everyone in his village. The story traces Ambili's outlook towards life and of challenges others surrounding him that face him on an everyday basis.","['Adventure', 'Comedy', 'Drama']",0.0
tt5889660,Dream Big,2016,,5.9,7,Courtney Anthony,,80.0,"It is about the king of Thailand who died in October 2016 and everyone respects them as if they were his own father, the story is based on following the great dream of the king of Thailand,...                ",['Drama'],0.0
tt5889746,Aramburu's Magical Mystery Tour,2017,,8.0,30,Manuel Valentín-Fernández,,122.0,"Diego Aramburu-Zabala has started his trip to Cheltenham, where he hopes to start his new life. However, the people and the moments he has left behind in Santander are too important to be forgotten and will remain in his mind and heart.",['Biography'],0.0
tt5890002,Love Ke Funday,2016,,7.4,14,Indervesh Yogee,,132.0,Love Ke Funday is a romantic comedy that deals with youngsters and their relationships. It deals with their commitment issues and fundays.,['Comedy'],0.0
tt5890460,Dyke pole,2018,,7.3,695,Yaroslav Lodygin,,120.0,"Herman Korolyov, 33, is getting by, working a meaningless executive job in a big city. One day he gets a strange call and learns that his older brother has mysteriously disappeared. Herman ...                ","['Adventure', 'Comedy', 'Drama']",0.0
